Leg,Target_Lat,Target_Lon,Actual_Lat,Actual_Lon,Offset_Distance_m
1,40.470297,-86.995236,40.470298,-86.995239,0.2770642645586485
2,40.470297,-86.995255,40.470299,-86.995248,0.6325196218939458
3,40.470297,-86.995368,40.470297,-86.995364,0.3383628471467335
4,40.470297,-86.995387,40.470296,-86.99538,0.6024849826986153
5,40.470322,-86.995387,40.470316,-86.995384,0.7138035280494207
6,40.470322,-86.995368,40.470321,-86.995377,0.7693936310347442
7,40.470322,-86.995255,40.470322,-86.995262,0.5921347618024257
8,40.470322,-86.995236,40.470323,-86.995243,0.6024847560654075
9,40.470348,-86.995236,40.470342,-86.995239,0.7138034920753528
10,40.470348,-86.995255,40.470349,-86.995252,0.2770640890226762
11,40.470348,-86.995368,40.470351,-86.995365,0.419140788577563
12,40.470348,-86.995387,40.470349,-86.995387,0.11119492637690076
13,40.470373,-86.995387,40.470368,-86.995387,0.55597463329915
14,40.470373,-86.995368,40.470371,-86.995375,0.6325190123209143
15,40.470301,-86.995233,40.470302,-86.995239,0.5195820082752868
